"CIK","CompanyName","EIN","StateOfIncorp","FiscalYearEnd","Type","Act","FileNo","FilmNo","BusinessAddress","MailingAddress","Filings","Format","Description","Filing Date","File/Film Num.","Link"
"0001691248","Blackstone Total Alternatives Solution 2016-A L.P.CIK#:0001691248 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001691248-16-000001 (33 Act)  Size: 16 KB","2016-12-07","","https://www.sec.gov/Archives/edgar/data/1691248/000169124816000001/0001691248-16-000001-index.htm"
"0001691365","Blackstone Total Alternatives Solution 2016 L.P.CIK#:0001691365 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001691365-16-000001 (33 Act)  Size: 15 KB","2016-12-07","","https://www.sec.gov/Archives/edgar/data/1691365/000169136516000001/0001691365-16-000001-index.htm"
"0001691650","Blackstone Core Equity Partners - F L.P.CIK#:0001691650 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001691650-16-000001 (33 Act)  Size: 11 KB","2016-12-06","","https://www.sec.gov/Archives/edgar/data/1691650/000169165016000001/0001691650-16-000001-index.htm"
"0001691745","Blackstone Tactical Opportunities Fund (LS Co-Invest II) L.P.CIK#:0001691745 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001691745-16-000001 (33 Act)  Size: 12 KB","2016-12-19","","https://www.sec.gov/Archives/edgar/data/1691745/000169174516000001/0001691745-16-000001-index.htm"
"0001692032","Blackstone Tac Opps Access L.P.CIK#:0001692032 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b and 3C.7 Acc-no: 0001140361-16-089313 (33 Act)  Size: 13 KB","2016-12-12","","https://www.sec.gov/Archives/edgar/data/1692032/000114036116089313/0001140361-16-089313-index.htm"
"0001692035","Blackstone Tac Opps Access Fund (Offshore) L.P.CIK#:0001692035 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b and 3C.7 Acc-no: 0001140361-16-089316 (33 Act)  Size: 13 KB","2016-12-12","","https://www.sec.gov/Archives/edgar/data/1692035/000114036116089316/0001140361-16-089316-index.htm"
"0001692174","Blackstone Real Estate Debt Strategies High-Grade L.P.CIK#:0001692174 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001692174-17-000001 (33 Act)  Size: 22 KB","2017-02-14","","https://www.sec.gov/Archives/edgar/data/1692174/000169217417000001/0001692174-17-000001-index.htm"
"0001692460","Blackstone Alternatives Solution 2016 TrustCIK#:0001692460 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001692460-16-000001 (33 Act)  Size: 16 KB","2016-12-19","","https://www.sec.gov/Archives/edgar/data/1692460/000169246016000001/0001692460-16-000001-index.htm"
"0001692461","Blackstone Alternatives Solution 2016 Fund (Offshore) L.P.CIK#:0001692461 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001692461-16-000001 (33 Act)  Size: 15 KB","2016-12-19","","https://www.sec.gov/Archives/edgar/data/1692461/000169246116000001/0001692461-16-000001-index.htm"
"0001693261","Blackstone TN Partners L.P.CIK#:0001693261 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001693261-17-000001 (33 Act)  Size: 12 KB","2017-01-04","","https://www.sec.gov/Archives/edgar/data/1693261/000169326117000001/0001693261-17-000001-index.htm"
"0001703416","Blackstone Maps Offshore Fund L.P.CIK#:0001703416 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0000902664-17-001989 (33 Act)  Size: 7 KB","2017-04-17","","https://www.sec.gov/Archives/edgar/data/1703416/000090266417001989/0000902664-17-001989-index.htm"
"0001704504","Blackstone Tactical Opportunities CR Fund L.P.CIK#:0001704504 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001704504-17-000001 (33 Act)  Size: 12 KB","2017-05-03","","https://www.sec.gov/Archives/edgar/data/1704504/000170450417000001/0001704504-17-000001-index.htm"
"0001705482","Blackstone Opportunity Fund, LLCCIK#:0001705482 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b and 4a5 Acc-no: 0001705482-17-000001 (33 Act)  Size: 5 KB","2017-05-03","","https://www.sec.gov/Archives/edgar/data/1705482/000170548217000001/0001705482-17-000001-index.htm"
"0001707729","Blackstone Tactical Opportunities RI Fund L.P.CIK#:0001707729 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001707729-17-000001 (33 Act)  Size: 12 KB","2017-05-26","","https://www.sec.gov/Archives/edgar/data/1707729/000170772917000001/0001707729-17-000001-index.htm"
